row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,visual_description,visual_language_answer,predicted_answer,evaluator_scores,accuracy
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy told pororo and crong, ""did you think you could play a trick on me?""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a mask', 'sticking out tongue'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'talking', 'object': None}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Loopy is smiling and talking, wearing a mask and sticking out her tongue.', 'right': 'The right region is empty.', 'foreground': 'Loopy is prominently displayed in the foreground.', 'background': 'The background features a snowy landscape with trees.'}}","loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""","0.75,0.75,0.75",0.75
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it is some kind of treasure.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing goggles', 'wearing a hat'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Pororo', 'action': 'asks', 'object': ""Eddy's hidden map""}], 'relationships': [{'subject': 'Pororo', 'relation': 'is in front of', 'object': 'Eddy'}], 'uncertain': [{'description': ""Eddy's presence and actions"", 'location': ['foreground', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Unclear if Eddy is present or what he is hiding.', 'center': 'Pororo is asking a question with a suspicious expression.', 'right': 'Empty or unclear.', 'foreground': 'Pororo is prominently displayed.', 'background': 'Snowy landscape with trees.'}}",pororo thinks eddy is hiding the map because he suspects it might be a treasure.,pororo thinks eddy is hiding the map because he suspects it might be a treasure.,"0.75,0.75,0.75",0.75
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor.,"{'Task 1': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing a helmet', 'holding a book'], 'location': ['foreground', 'center']}, {'name': 'wind-up toy', 'attributes': ['toy', 'moving'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'sees', 'object': 'wind-up toy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'sitting on', 'object': 'sofa'}, {'subject': 'wind-up toy', 'relation': 'located near', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2': {'left': 'The left region is empty.', 'center': 'Pororo is sitting on a sofa, reading a book.', 'right': 'A wind-up toy is moving on the floor.', 'foreground': 'Pororo and the wind-up toy are visible.', 'background': 'The background shows a simple room with walls and windows.'}}",pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['pink', 'bear', 'holding sandwich'], 'location': ['foreground', 'center']}, {'name': 'Eddy', 'attributes': ['green', 'frog', 'robot arm'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Loopy', 'action': 'hands over', 'object': 'sandwich'}, {'subject': 'Eddy', 'action': 'picks up', 'object': 'sandwich'}], 'relationships': [{'subject': 'Loopy', 'relation': 'gives to', 'object': 'Eddy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy, a green frog with a robot arm, is present.', 'center': 'Loopy, a pink bear, is holding a sandwich.', 'right': 'Empty or unclear.', 'foreground': 'Loopy and Eddy are interacting with the sandwich.', 'background': 'Snowy landscape with unclear details.'}}",loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","loopy asks eddy, ""what happened?""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['riding a robot'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': ['watching'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['watching'], 'location': ['foreground', 'right']}, {'name': 'Crong', 'attributes': ['watching'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['watching'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'riding', 'object': 'robot'}, {'subject': 'Loopy', 'action': 'watching', 'object': 'Eddy'}, {'subject': 'Poby', 'action': 'watching', 'object': 'Eddy'}, {'subject': 'Crong', 'action': 'watching', 'object': 'Eddy'}, {'subject': 'Pororo', 'action': 'watching', 'object': 'Eddy'}], 'relationships': [{'subject': 'Eddy', 'relation': 'in front of', 'object': 'Loopy'}, {'subject': 'Eddy', 'relation': 'in front of', 'object': 'Poby'}, {'subject': 'Eddy', 'relation': 'in front of', 'object': 'Crong'}, {'subject': 'Eddy', 'relation': 'in front of', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Loopy and Crong are watching Eddy.', 'center': 'Eddy is riding a robot.', 'right': 'Poby is watching Eddy.', 'foreground': 'Eddy, Loopy, Crong, Poby, and Pororo are in the foreground.', 'background': 'The background shows a snowy landscape.'}}","loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""","1.0,1.0,1.0",1.0
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,everyone felt amused and entertained watching crong enthusiastically clean the house while pororo and loopy shared a secret moment.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Crong', 'attributes': ['green', 'smiling'], 'location': ['center', 'foreground']}, {'name': 'drawer', 'attributes': ['wooden', 'closed'], 'location': ['left', 'background']}, {'name': 'box', 'attributes': ['wooden', 'open'], 'location': ['right', 'background']}, {'name': 'poster', 'attributes': ['colorful', 'hanging'], 'location': ['left', 'background']}], 'actions': [{'subject': 'Crong', 'action': 'cleaning', 'object': 'floor'}], 'relationships': [{'subject': 'Crong', 'relation': 'in front of', 'object': 'drawer'}, {'subject': 'Crong', 'relation': 'near', 'object': 'box'}], 'uncertain': [{'description': 'details of the floor', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'A wooden drawer and a colorful poster are visible.', 'center': 'Crong is happily cleaning the floor.', 'right': 'An open wooden box is present.', 'foreground': 'Crong is actively engaged in cleaning.', 'background': 'The background features a drawer and a poster.'}}",everyone felt happy and amused watching crong cheerfully clean the house.,everyone felt happy and amused watching crong cheerfully clean the house.,"0.75,0.75,0.75",0.75
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong was playing with a toy as pororo entered the house.,{'description': 'pororo is desperately looking for crong.'},crong was playing with a toy as pororo entered the house.,crong was playing with a toy as pororo entered the house.,"0.75,0.75,0.5",0.75
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo answered, ""uh well,"" while moving his arms and turning around.","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing goggles', 'wearing a hat'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green dinosaur'], 'location': ['background', 'left']}, {'name': 'Loopy', 'attributes': ['pink beaver'], 'location': ['background', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'moves', 'object': 'arms'}, {'subject': 'Pororo', 'action': 'turns', 'object': 'around'}], 'relationships': [{'subject': 'Pororo', 'relation': 'in front of', 'object': 'Crong'}, {'subject': 'Pororo', 'relation': 'in front of', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Crong, a green dinosaur, is visible in the background.', 'center': 'Pororo, a penguin, is in the foreground with arms moved and turned around.', 'right': 'Loopy, a pink beaver, is visible in the background.', 'foreground': 'Pororo is prominently displayed with a surprised expression.', 'background': 'Snowy landscape with trees and Crong and Loopy in the distance.'}}","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.","1.0,1.0,1.0",1.0
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,eddy said sorry to pororo for doubting him.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['fox', 'smiling'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['penguin', 'smiling'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'apologizes', 'object': 'Pororo'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy, a smiling fox, is positioned on the left.', 'center': 'The center is occupied by the interaction between Eddy and Pororo.', 'right': 'Pororo, a smiling penguin, is positioned on the right.', 'foreground': 'Eddy and Pororo are in the foreground, engaging with each other.', 'background': 'The background features a night sky with trees, but details are unclear.'}}",eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['talking', 'animated character'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['clapping', 'animated character'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['nodding', 'animated character'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'explaining', 'object': 'Loopy and Poby'}, {'subject': 'Loopy', 'action': 'clapping', 'object': None}, {'subject': 'Poby', 'action': 'nodding', 'object': None}], 'relationships': [{'subject': 'Eddy', 'relation': 'to the left of', 'object': 'Loopy'}, {'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Poby'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy is explaining something to Loopy and Poby.', 'center': 'Loopy is clapping enthusiastically.', 'right': 'Poby is nodding his head in agreement.', 'foreground': 'Eddy, Loopy, and Poby are gathered together in a snowy environment.', 'background': 'Snowy landscape with trees and an ice structure.'}}","eddy, loopy, and poby were secretly discussing something, with eddy explaining while loopy clapped and poby nodded in agreement when pororo and crong arrived.","eddy, loopy, and poby were secretly discussing something, with eddy explaining while loopy clapped and poby nodded in agreement when pororo and crong arrived.","1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"the friends do not find pororo behind the snowman, as they are waving goodbye to him.","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['pink', 'small', 'cute'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white', 'bear', 'medium'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green', 'small', 'dinosaur'], 'location': ['foreground', 'right']}, {'name': 'Eddy', 'attributes': ['orange', 'fox', 'medium'], 'location': ['foreground', 'far right']}], 'actions': [{'subject': 'Loopy', 'action': 'waves', 'object': 'none'}, {'subject': 'Poby', 'action': 'waves', 'object': 'none'}, {'subject': 'Crong', 'action': 'waves', 'object': 'none'}, {'subject': 'Eddy', 'action': 'waves', 'object': 'none'}], 'relationships': [{'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Poby'}, {'subject': 'Poby', 'relation': 'to the left of', 'object': 'Crong'}, {'subject': 'Crong', 'relation': 'to the left of', 'object': 'Eddy'}], 'uncertain': [{'description': ""Pororo's location"", 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy is waving goodbye.', 'center': 'Poby is waving goodbye.', 'right': 'Crong and Eddy are waving goodbye.', 'foreground': 'All characters are in the foreground waving.', 'background': ""Snowy landscape with trees; Pororo's location is unclear.""}}","the friends do not find pororo behind the snowman, as his location remains unclear in the scene.","the friends do not find pororo behind the snowman, as his location remains unclear in the scene.","0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"when pororo says ""come here,"" crong tries to run away again.","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing goggles', 'standing'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green dinosaur', 'looking away', 'running'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'calls', 'object': 'Crong'}, {'subject': 'Crong', 'action': 'tries to run away', 'object': None}], 'relationships': [{'subject': 'Pororo', 'relation': 'is facing', 'object': 'Crong'}, {'subject': 'Crong', 'relation': 'is near', 'object': 'Pororo'}], 'uncertain': [{'description': ""Crong's exact position or direction"", 'location': ['foreground', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong is attempting to run away.', 'center': 'Pororo is standing and calling for Crong.', 'right': 'Empty or unclear.', 'foreground': 'Pororo and Crong are both visible.', 'background': 'Snowy landscape with a house.'}}","when pororo says ""come here,"" crong tries to run away instead of approaching him.","when pororo says ""come here,"" crong tries to run away instead of approaching him.","0.75,0.75,0.75",0.75
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""","poby says, ""of course,"" when invited to play.",{'description': 'Poby abandons his fishing rod and goes to his friends to play.'},"poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.","1.0,1.0,1.0",1.0
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,,,0.825
