row_num,qid,video_name,gif_num,question,correct_answer,visual_description,visual_language_answer,evaluator_scores,accuracy
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['riding a robot'], 'location': ['center', 'center']}, {'name': 'Loopy', 'attributes': ['watching'], 'location': ['left', 'left']}, {'name': 'Poby', 'attributes': ['watching'], 'location': ['left', 'left']}, {'name': 'Crong', 'attributes': ['watching'], 'location': ['left', 'left']}, {'name': 'Pororo', 'attributes': ['watching'], 'location': ['left', 'left']}, {'name': 'robot', 'attributes': ['moving strangely'], 'location': ['center', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'riding', 'object': 'robot'}, {'subject': 'Loopy', 'action': 'watching', 'object': 'Eddy'}, {'subject': 'Poby', 'action': 'watching', 'object': 'Eddy'}, {'subject': 'Crong', 'action': 'watching', 'object': 'Eddy'}, {'subject': 'Pororo', 'action': 'watching', 'object': 'Eddy'}], 'relationships': [{'subject': 'Eddy', 'relation': 'on', 'object': 'robot'}, {'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Eddy'}, {'subject': 'Poby', 'relation': 'to the left of', 'object': 'Eddy'}, {'subject': 'Crong', 'relation': 'to the left of', 'object': 'Eddy'}, {'subject': 'Pororo', 'relation': 'to the left of', 'object': 'Eddy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Loopy, Poby, Crong, and Pororo are watching Eddy.', 'center': 'Eddy is riding a robot that is moving strangely.', 'right': 'No identifiable content.', 'foreground': 'Eddy and the robot are in the foreground.', 'background': 'Snowy landscape with ice formations.'}}","loopy asks eddy, ""what happened?""","1.0,1.0,1.0",1.0
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,Visual Description: Crong is cleaning the floor of the house. Pororo is secretly telling something to Loopy.,everyone felt amused and curious as crong diligently cleaned the house while pororo whispered to loopy.,"0.75,0.75,0.75",0.75
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,Visual Description: pororo is desperately looking for crong.,crong was playing with a toy as pororo entered the house.,"0.5,0.5,0.5",0.5
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing goggles', 'wearing a hat'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green dinosaur'], 'location': ['background', 'right']}, {'name': 'Loopy', 'attributes': ['pink beaver'], 'location': ['background', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'moves', 'object': 'arms'}, {'subject': 'Pororo', 'action': 'turns', 'object': 'around'}], 'relationships': [{'subject': 'Pororo', 'relation': 'in front of', 'object': 'Crong'}, {'subject': 'Pororo', 'relation': 'in front of', 'object': 'Loopy'}], 'uncertain': [{'description': 'specific expressions or details of Crong and Loopy', 'location': ['background', 'right']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Pororo is in the center, moving his arms and turning around.', 'right': 'Crong and Loopy are visible in the background.', 'foreground': 'Pororo is the only character in the foreground.', 'background': 'Snowy landscape with Crong and Loopy in the background.'}}","pororo answered, ""uh well,"" while moving his arms and turning around.","1.0,1.0,1.0",1.0
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['fox', 'smiling'], 'location': ['center', 'left']}, {'name': 'Pororo', 'attributes': ['penguin', 'smiling'], 'location': ['center', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'apologizes', 'object': 'Pororo'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy, a smiling fox, is positioned on the left.', 'center': 'Eddy and Pororo are looking at each other.', 'right': 'Pororo, a smiling penguin, is positioned on the right.', 'foreground': 'The characters are in the foreground, with no other objects visible.', 'background': 'The background features a night sky with trees, but details are unclear.'}}",eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['talking', 'animated character'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['clapping', 'animated character'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['nodding', 'animated character'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'explaining', 'object': 'Loopy and Poby'}, {'subject': 'Loopy', 'action': 'clapping', 'object': None}, {'subject': 'Poby', 'action': 'nodding', 'object': None}], 'relationships': [{'subject': 'Eddy', 'relation': 'to the left of', 'object': 'Loopy'}, {'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Poby'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy is explaining something to Loopy and Poby.', 'center': 'Loopy is clapping in response to Eddy.', 'right': 'Poby is nodding his head while listening.', 'foreground': 'Eddy, Loopy, and Poby are gathered together in the foreground.', 'background': 'The snowy landscape with trees and an ice structure is visible.'}}","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"Visual Description: Loopy, Poby, Crong and Eddy waves at Pororo and say goodbye to Pororo.","the friends do not find pororo behind the snowman, as they are waving goodbye to him.","0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing goggles', 'wearing a hat'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green dinosaur', 'small', 'looking away'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'calls', 'object': 'Crong'}, {'subject': 'Crong', 'action': 'tries to run away', 'object': None}], 'relationships': [{'subject': 'Pororo', 'relation': 'is facing', 'object': 'Crong'}, {'subject': 'Crong', 'relation': 'is next to', 'object': 'Pororo'}], 'uncertain': [{'description': ""Crong's exact position or movement direction"", 'location': ['foreground', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong, the green dinosaur, is attempting to run away.', 'center': 'Pororo, the penguin, is standing and calling Crong.', 'right': 'No visible content.', 'foreground': 'Pororo and Crong are both in the foreground.', 'background': 'A snowy landscape with a house is visible.'}}","when pororo says ""come here,"" crong tries to run away again.","1.0,1.0,1.0",1.0
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""",Visual Description: Poby abandons his fishing rod and goes to his friends to play.,"poby says, ""of course,"" when invited to play.","1.0,1.0,1.0",1.0
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,0.84375
