row_num,qid,video_name,gif_num,question,correct_answer,visual_description,visual_language_answer,evaluator_scores,accuracy
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['pink', 'bear', 'smiling'], 'location': ['foreground', 'center']}, {'name': 'Eddy', 'attributes': ['green', 'frog', 'looking at Loopy'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Loopy', 'action': 'hands over', 'object': 'sandwich'}, {'subject': 'Eddy', 'action': 'picks up', 'object': 'sandwich'}], 'relationships': [{'subject': 'Loopy', 'relation': 'gives to', 'object': 'Eddy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy, a green frog, is looking at Loopy.', 'center': 'Loopy, a pink bear, is handing a sandwich.', 'right': 'Empty or unclear.', 'foreground': 'Loopy and Eddy are in the foreground, interacting.', 'background': 'Snowy landscape with unclear details.'}}",loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['riding a robot'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': ['watching'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['watching'], 'location': ['foreground', 'right']}, {'name': 'Crong', 'attributes': ['watching'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['watching'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'riding', 'object': 'robot'}, {'subject': 'Loopy', 'action': 'watching', 'object': 'Eddy'}, {'subject': 'Poby', 'action': 'watching', 'object': 'Eddy'}, {'subject': 'Crong', 'action': 'watching', 'object': 'Eddy'}, {'subject': 'Pororo', 'action': 'watching', 'object': 'Eddy'}], 'relationships': [{'subject': 'Eddy', 'relation': 'on', 'object': 'robot'}, {'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Eddy'}, {'subject': 'Poby', 'relation': 'to the right of', 'object': 'Eddy'}, {'subject': 'Crong', 'relation': 'to the left of', 'object': 'Eddy'}, {'subject': 'Pororo', 'relation': 'behind', 'object': 'Eddy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Loopy and Crong are watching Eddy.', 'center': 'Eddy is riding a robot.', 'right': 'Poby is watching Eddy.', 'foreground': 'Eddy, Loopy, Crong, Poby, and Pororo are all in the foreground.', 'background': 'The background shows snowy hills and trees.'}}","loopy asks eddy, ""what happened?""","1.0,1.0,1.0",1.0
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Crong', 'attributes': ['green', 'smiling'], 'location': ['foreground', 'center']}, {'name': 'drawer', 'attributes': ['wooden', 'closed'], 'location': ['background', 'left']}, {'name': 'box', 'attributes': ['wooden', 'open'], 'location': ['background', 'right']}, {'name': 'poster', 'attributes': ['colorful'], 'location': ['background', 'left']}], 'actions': [{'subject': 'Crong', 'action': 'cleaning', 'object': 'floor'}], 'relationships': [{'subject': 'Crong', 'relation': 'in front of', 'object': 'drawer'}, {'subject': 'Crong', 'relation': 'near', 'object': 'box'}], 'uncertain': [{'description': 'details of the floor', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'A wooden drawer and a colorful poster are visible.', 'center': 'Crong is cleaning the floor with a smile.', 'right': 'An open wooden box is present.', 'foreground': 'Crong is actively engaged in cleaning.', 'background': 'The background features a drawer and a poster.'}}",everyone felt happy and amused watching crong cheerfully clean the house.,"0.75,0.75,0.75",0.75
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,Visual Description: pororo is desperately looking for crong.,crong was playing with a toy as pororo entered the house.,"0.5,0.5,0.5",0.5
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing goggles', 'wearing a hat'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green dinosaur'], 'location': ['background', 'left']}, {'name': 'Loopy', 'attributes': ['pink beaver'], 'location': ['background', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'moves', 'object': 'arms'}, {'subject': 'Pororo', 'action': 'turns', 'object': 'around'}], 'relationships': [{'subject': 'Pororo', 'relation': 'in front of', 'object': 'Crong'}, {'subject': 'Pororo', 'relation': 'in front of', 'object': 'Loopy'}], 'uncertain': [{'description': 'details of the background scenery', 'location': ['background', 'left/right']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong, the green dinosaur, is visible in the background.', 'center': 'Pororo is in the foreground, moving his arms and turning around.', 'right': 'Loopy, the pink beaver, is visible in the background.', 'foreground': 'Pororo is prominently featured, expressing excitement.', 'background': 'Snowy landscape with trees, details are unclear.'}}","pororo answered, ""uh well,"" while moving his arms and turning around.","1.0,1.0,1.0",1.0
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['fox', 'smiling'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['penguin', 'smiling'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'apologizes', 'object': 'Pororo'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy, a smiling fox, is positioned on the left.', 'center': 'The center is empty.', 'right': 'Pororo, a smiling penguin, is positioned on the right.', 'foreground': 'Eddy and Pororo are in the foreground, interacting.', 'background': 'The background features a snowy landscape with trees.'}}",eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['talking', 'animated character'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['clapping', 'animated character'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['nodding', 'animated character'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'explaining', 'object': 'Loopy and Poby'}, {'subject': 'Loopy', 'action': 'clapping', 'object': None}, {'subject': 'Poby', 'action': 'nodding', 'object': None}], 'relationships': [{'subject': 'Eddy', 'relation': 'to the left of', 'object': 'Loopy'}, {'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Poby'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy is talking animatedly.', 'center': 'Loopy is clapping while listening.', 'right': 'Poby is nodding in agreement.', 'foreground': 'Eddy, Loopy, and Poby are gathered together.', 'background': 'Snowy landscape with trees and an ice structure.'}}","eddy, loopy, and poby were secretly discussing something, with eddy explaining while loopy clapped and poby nodded in agreement when pororo and crong arrived.","1.0,1.0,1.0",1.0
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['pink', 'small', 'cute'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white', 'bear', 'medium'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green', 'dinosaur', 'small'], 'location': ['foreground', 'right']}, {'name': 'Eddy', 'attributes': ['orange', 'fox', 'medium'], 'location': ['foreground', 'far right']}], 'actions': [{'subject': 'Loopy', 'action': 'waves', 'object': 'none'}, {'subject': 'Poby', 'action': 'waves', 'object': 'none'}, {'subject': 'Crong', 'action': 'waves', 'object': 'none'}, {'subject': 'Eddy', 'action': 'waves', 'object': 'none'}], 'relationships': [{'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Poby'}, {'subject': 'Poby', 'relation': 'to the left of', 'object': 'Crong'}, {'subject': 'Crong', 'relation': 'to the left of', 'object': 'Eddy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Loopy is waving goodbye.', 'center': 'Poby is waving goodbye.', 'right': 'Crong and Eddy are waving goodbye.', 'foreground': 'All characters are in the foreground waving.', 'background': 'Snowy landscape with trees and blue sky.'}}","no, the friends do not find pororo behind the snowman.","0.0,0.0,0.0",0.0
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing goggles', 'wearing a hat'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green dinosaur', 'small'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'calls', 'object': 'Crong'}, {'subject': 'Crong', 'action': 'tries to run away', 'object': None}], 'relationships': [{'subject': 'Pororo', 'relation': 'is looking at', 'object': 'Crong'}, {'subject': 'Crong', 'relation': 'is near', 'object': 'Pororo'}], 'uncertain': [{'description': ""Crong's exact position or movement direction"", 'location': ['foreground', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong is visible, appearing to try to run away.', 'center': 'Pororo is standing and looking at Crong.', 'right': 'No visible content.', 'foreground': 'Pororo and Crong are both present.', 'background': 'Snowy landscape and a house are visible.'}}","when pororo says ""come here,"" crong tries to run away again.","1.0,1.0,1.0",1.0
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""",Visual Description: Poby abandons his fishing rod and goes to his friends to play.,"poby says, ""of course,"" when invited to play.","1.0,1.0,1.0",1.0
41,Average,,,,"Total Videos: 22, Total Questions: 40",,,,0.83125
