row_num,qid,video_name,gif_num,question,correct_answer,visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing a helmet', 'blue penguin'], 'location': ['center', 'center']}, {'name': 'Crong', 'attributes': ['green dinosaur'], 'location': ['background', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'stands up', 'object': None}, {'subject': 'Crong', 'action': 'slides down', 'object': 'behind Pororo'}], 'relationships': [{'subject': 'Crong', 'relation': 'behind', 'object': 'Pororo'}], 'uncertain': [{'description': ""Eddy's presence"", 'location': ['foreground', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong is sliding down in the background.', 'center': 'Pororo stands up with his left arm raised.', 'right': 'Region is empty or unclear.', 'foreground': ""Eddy's presence is unclear."", 'background': 'Snowy landscape with ice formations.'}}",crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0,1.0,SUFFICIENT,"the visual description clearly indicates that crong interrupts eddy while he is saying hello to loopy, confirming the answer.","the actions described in the visual description, particularly crong sliding down behind pororo, support the claim of interruption.",False
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a hat', 'holding a vase with flowers'], 'location': ['foreground', 'center']}, {'name': 'Eddy', 'attributes': ['sitting'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['sitting'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Loopy', 'action': 'holding', 'object': 'vase with flowers'}], 'relationships': [{'subject': 'Loopy', 'relation': 'is next to', 'object': 'Eddy'}, {'subject': 'Loopy', 'relation': 'is next to', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy is sitting on the left side of the foreground.', 'center': 'Loopy is smiling and holding a vase with flowers in the center.', 'right': 'Pororo is sitting on the right side of the foreground.', 'foreground': 'Loopy, Eddy, and Pororo are all in the foreground.', 'background': 'The background features a snowy landscape with trees and ice.'}}",loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything after sharing about the flower.,loopy proposed that the group ask him anything after sharing about the flower.,"0.75,0.75,0.75",0.75,1.0,SUFFICIENT,"the visual description provides relevant details about loopy holding a vase with flowers and the context of the scene, which supports the proposed dialogue.","the description confirms loopy's action of holding a vase with flowers, aligning with the dialogue context.",False
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,Visual Description: crong and pororo have a sad face.,pororo thought he needed to find a way to cheer up crong and make things better.,pororo thought they needed to find a way to cheer themselves up and solve their problem together.,pororo thought they needed to find a way to cheer themselves up and solve their problem together.,"0.5,0.5,0.5",0.5,0.75,SUFFICIENT,"the visual description of crong and pororo having sad faces supports the context of their emotional state, which aligns with the need to cheer up. however, the answers differ slightly in phrasing, leading to a moderate confidence level.","the visual description indicates the emotional state of the characters, which is relevant to their thoughts about finding a solution.",True
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['pink', 'bear', 'surprised'], 'location': ['foreground', 'left']}, {'name': 'Eddy', 'attributes': ['white', 'dog', 'excited'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': ['orange', 'rabbit', 'curious'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'look', 'object': 'down'}, {'subject': 'Eddy', 'action': 'look', 'object': 'down'}, {'subject': 'Loopy', 'action': 'look', 'object': 'down'}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Eddy'}, {'subject': 'Eddy', 'relation': 'next to', 'object': 'Loopy'}], 'uncertain': [{'description': 'details of the hole', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Poby looks surprised from the left side of the hole.', 'center': 'Eddy appears excited in the center of the hole.', 'right': 'Loopy looks curious from the right side of the hole.', 'foreground': 'The characters are peering down from the hole.', 'background': 'The background is mostly empty with a blue sky.'}}","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides clear details about the characters and their actions, confirming that poby, eddy, and loopy are looking down and expressing their intent to save pororo and crong, which aligns with the dialogue.","the actions of poby, eddy, and loopy looking down from the hole support the dialogue context.",False
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['smiling', 'wearing a mask', 'sticking out tongue'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Loopy', 'action': 'talking', 'object': None}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Loopy is smiling and talking, wearing a mask and sticking out her tongue.', 'right': 'The right region is empty.', 'foreground': 'Loopy is prominently displayed in the foreground.', 'background': 'The background features a snowy landscape with trees.'}}","loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""","0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description provides clear context about loopy's actions and expressions, which directly supports the dialogue presented in the answers.","the description of loopy smiling and talking, along with the specific dialogue from the subtitles, confirms the accuracy of the answers.",False
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,Visual Description: pororo suspiciously asks that why eddy is hiding the map as if it is some kind of treasure.,pororo thinks eddy is hiding the map because he believes it might be some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,pororo thinks eddy is hiding the map because he believes it is some kind of treasure.,"0.75,0.75,0.75",0.75,1.0,SUFFICIENT,"the visual description accurately reflects pororo's suspicion regarding eddy hiding the map, aligning with the context of the question.","the description captures pororo's suspicious demeanor and inquiry about the map, which is central to the question.",False
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,"{'Task 1': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing a helmet', 'holding a book'], 'location': ['foreground', 'center']}, {'name': 'wind-up toy', 'attributes': ['toy', 'moving'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'sees', 'object': 'wind-up toy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'sitting on', 'object': 'sofa'}, {'subject': 'wind-up toy', 'relation': 'in front of', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2': {'left': 'The left region is empty.', 'center': 'Pororo is sitting on a sofa, reading a book.', 'right': 'A wind-up toy is moving on the floor.', 'foreground': 'Pororo and the wind-up toy are visible.', 'background': 'The walls and windows are visible.'}}",pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,"0.0,0.25,0.0",0.0,1.0,SUFFICIENT,"the visual description provides clear and relevant details about pororo seeing a wind-up toy moving, which directly answers the question.",the description confirms that pororo is sitting on a sofa and sees a wind-up toy moving in front of him.,False
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['pink', 'bear', 'smiling'], 'location': ['foreground', 'center']}, {'name': 'Eddy', 'attributes': ['green', 'frog', 'curious'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Loopy', 'action': 'hands over', 'object': 'sandwich'}, {'subject': 'Eddy', 'action': 'picks up', 'object': 'sandwich'}], 'relationships': [{'subject': 'Loopy', 'relation': 'gives to', 'object': 'Eddy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy, a green frog, is looking at Loopy.', 'center': 'Loopy, a pink bear, is holding a sandwich.', 'right': 'Empty or unclear.', 'foreground': 'Loopy and Eddy are interacting with a sandwich.', 'background': 'Snowy landscape with ice formations.'}}",loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that loopy is handing a sandwich to eddy, which directly answers the question.",the actions described in the visual description confirm that loopy is giving a sandwich to eddy.,False
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['riding a robot'], 'location': ['center', 'center']}, {'name': 'Loopy', 'attributes': ['watching'], 'location': ['left', 'left']}, {'name': 'Poby', 'attributes': ['watching'], 'location': ['left', 'left']}, {'name': 'Crong', 'attributes': ['watching'], 'location': ['left', 'left']}, {'name': 'Pororo', 'attributes': ['watching'], 'location': ['left', 'left']}, {'name': 'robot', 'attributes': ['moving strangely'], 'location': ['center', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'riding', 'object': 'robot'}, {'subject': 'Loopy', 'action': 'watching', 'object': 'Eddy'}, {'subject': 'Poby', 'action': 'watching', 'object': 'Eddy'}, {'subject': 'Crong', 'action': 'watching', 'object': 'Eddy'}, {'subject': 'Pororo', 'action': 'watching', 'object': 'Eddy'}], 'relationships': [{'subject': 'Eddy', 'relation': 'on', 'object': 'robot'}, {'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Eddy'}, {'subject': 'Poby', 'relation': 'to the left of', 'object': 'Eddy'}, {'subject': 'Crong', 'relation': 'to the left of', 'object': 'Eddy'}, {'subject': 'Pororo', 'relation': 'to the left of', 'object': 'Eddy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Loopy, Poby, Crong, and Pororo are watching Eddy.', 'center': 'Eddy is riding a robot that is moving strangely.', 'right': 'No identifiable content.', 'foreground': 'Eddy and the robot are in the foreground.', 'background': 'Snowy landscape with ice formations.'}}","loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""","loopy asks eddy, ""what happened?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides clear context about the characters and their actions, confirming that loopy asks eddy what happened as stated in both answers.","the description indicates that loopy is watching eddy, which supports the dialogue context.",False
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,Visual Description: Crong is cleaning the floor of the house. Pororo is secretly telling something to Loopy.,everyone felt amused and entertained watching crong clean the house while pororo whispered to loopy.,everyone felt amused and curious as crong diligently cleaned the house while pororo whispered to loopy.,everyone felt amused and curious as crong diligently cleaned the house while pororo whispered to loopy.,"0.75,0.75,0.75",0.75,0.75,SUFFICIENT,"the visual description accurately depicts crong cleaning the house and pororo whispering to loopy, which aligns with the context of the question. however, the emotional responses in the answers differ slightly, leading to some uncertainty.",the description of crong cleaning the floor and pororo whispering provides clear context for the scene.,False
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,Visual Description: pororo is desperately looking for crong.,crong was playing with a toy as pororo entered the house.,crong was playing with a toy as pororo entered the house.,crong was playing with a toy as pororo entered the house.,"0.5,0.5,0.5",0.5,0.75,INSUFFICIENT,"the visual description does not provide relevant information about what crong was playing with, which is essential to answer the question. however, both answers agree on the action, indicating a high level of confidence in the shared answer.","not applicable, as the visual description was insufficient.",False
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing goggles', 'wearing a hat'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green dinosaur'], 'location': ['background', 'right']}, {'name': 'Loopy', 'attributes': ['pink beaver'], 'location': ['background', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'moves', 'object': 'arms'}, {'subject': 'Pororo', 'action': 'turns', 'object': 'around'}], 'relationships': [{'subject': 'Pororo', 'relation': 'in front of', 'object': 'Crong'}, {'subject': 'Pororo', 'relation': 'in front of', 'object': 'Loopy'}], 'uncertain': [{'description': 'specific expressions or details of Crong and Loopy', 'location': ['background', 'right']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Pororo is in the center, moving his arms and turning around.', 'right': 'Crong and Loopy are visible in the background.', 'foreground': 'Pororo is the only character in the foreground.', 'background': 'Snowy landscape with Crong and Loopy in the background.'}}","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.","pororo answered, ""uh well,"" while moving his arms and turning around.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description provides a clear context of pororo's actions and his interaction with crong and loopy, aligning with the dialogue presented in the answers.","the description confirms pororo's movements and positions relative to crong and loopy, supporting the dialogue.",False
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['fox', 'smiling'], 'location': ['center', 'left']}, {'name': 'Pororo', 'attributes': ['penguin', 'smiling'], 'location': ['center', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'apologizes', 'object': 'Pororo'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy, a smiling fox, is positioned on the left.', 'center': 'Eddy and Pororo are looking at each other.', 'right': 'Pororo, a smiling penguin, is positioned on the right.', 'foreground': 'The characters are in the foreground, with no other objects visible.', 'background': 'The background features a night sky with trees, but details are unclear.'}}",eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,eddy said sorry to pororo for doubting him.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly indicates that eddy is apologizing to pororo, which aligns with both the pure language and visual language answers.",the actions described in the visual description confirm eddy's apology to pororo.,False
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['talking', 'animated character'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['clapping', 'animated character'], 'location': ['foreground', 'center']}, {'name': 'Poby', 'attributes': ['nodding', 'animated character'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'explaining', 'object': 'Loopy and Poby'}, {'subject': 'Loopy', 'action': 'clapping', 'object': None}, {'subject': 'Poby', 'action': 'nodding', 'object': None}], 'relationships': [{'subject': 'Eddy', 'relation': 'to the left of', 'object': 'Loopy'}, {'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Poby'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Eddy is explaining something to Loopy and Poby.', 'center': 'Loopy is clapping in response to Eddy.', 'right': 'Poby is nodding his head while listening.', 'foreground': 'Eddy, Loopy, and Poby are gathered together in the foreground.', 'background': 'The snowy landscape with trees and an ice structure is visible.'}}","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","eddy, loopy, and poby were secretly discussing something when pororo arrived with crong.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual_description provides clear details about the actions and interactions of the characters, confirming that eddy, loopy, and poby were engaged in a discussion when pororo arrived with crong.","the actions of eddy explaining, loopy clapping, and poby nodding are explicitly mentioned in the visual_description, supporting the context of the scene.",False
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"Visual Description: Loopy, Poby, Crong and Eddy waves at Pororo and say goodbye to Pororo.","the friends do not find pororo behind the snowman, as they are waving goodbye to him.","the friends do not find pororo behind the snowman, as they are waving goodbye to him.","the friends do not find pororo behind the snowman, as they are waving goodbye to him.","0.0,0.0,0.0",0.0,1.0,SUFFICIENT,"the visual description clearly states that the friends are waving goodbye to pororo, which directly supports the answers provided.","the description of loopy, poby, crong, and eddy waving at pororo confirms their action of saying goodbye.",False
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing goggles', 'wearing a hat'], 'location': ['foreground', 'center']}, {'name': 'Crong', 'attributes': ['green dinosaur', 'small', 'looking away'], 'location': ['foreground', 'left']}], 'actions': [{'subject': 'Pororo', 'action': 'calls', 'object': 'Crong'}, {'subject': 'Crong', 'action': 'tries to run away', 'object': None}], 'relationships': [{'subject': 'Pororo', 'relation': 'is facing', 'object': 'Crong'}, {'subject': 'Crong', 'relation': 'is next to', 'object': 'Pororo'}], 'uncertain': [{'description': ""Crong's exact position or movement direction"", 'location': ['foreground', 'left']}]}, 'Task 2 - Region-based Captions': {'left': 'Crong, the green dinosaur, is attempting to run away.', 'center': 'Pororo, the penguin, is standing and calling Crong.', 'right': 'No visible content.', 'foreground': 'Pororo and Crong are both in the foreground.', 'background': 'A snowy landscape with a house is visible.'}}","crong tries to run away when pororo says ""come here.""","when pororo says ""come here,"" crong tries to run away again.","crong tries to run away when pororo says ""come here.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual_description provides clear and relevant details about the actions and positions of pororo and crong, confirming that crong tries to run away when called by pororo.","the actions described in the visual_description, particularly crong trying to run away and pororo calling him, directly support the answers.",False
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""",Visual Description: Poby abandons his fishing rod and goes to his friends to play.,"poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.","poby says, ""of course,"" when invited to play.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description directly supports the dialogue by indicating poby's action of abandoning his fishing rod to play with friends, aligning with the response ""of course.""",the action of poby abandoning his fishing rod to join friends is a clear visual cue that reinforces the dialogue.,False
41,Average,,,,,,,,,,0.83125,0.975,,,,4/40
